Tipo de Solicitud,Nro. GEX,Fecha Vencimiento,Estado,Regional,Departamento,Fecha de Solicitud,Fecha de Resolución,Fecha de Inscripción,Caudal,Volumen,Uso,Destino,Latitud,Longitud,Mes Inicio,Mes Final,Horas x Año,Depto.-Padrón,Id Solicitud,Sección y localidad catastral,profundidad,Diámetro,Caudal Ensayado,Nivel Estático,Nivel Dinámico,Accion Solicitud,Tipo Resolución,Tiempo de Tramitación,Estado Agrupado,Antigüedad Pendiente
Proyecto de Aprovechamiento,SGRH-00040200289-635.001,2011-03-27,Registrada,SALTO,SALTO,2000-09-18,2001-03-27,,19.7,35460.0,Riego,Frutales,-31.31716746,-57.95376019,12.0,3.0,2160.0,SALTO-4739,237902.0,2.0,55.0,0.15,19.7,20.0,37.5,Nueva,Autorización,6.241787122207621,Registrada,
Proyecto de Aprovechamiento,SGRH-00040200324-595.001,2010-10-19,Registrada,FRAY BENTOS,PAYSANDÚ,2000-03-10,2000-10-19,2000-10-25,9.0,16200.0,Riego,Otros,-32.34177153,-58.08282352,12.0,3.0,2160.0,PAYSANDÚ-5331,237906.0,2.0,53.0,0.15,9.0,25.0,29.0,Nueva,Autorización,7.3258869908015765,Registrada,
Proyecto de Aprovechamiento,SGRH-00040200325-596.001,2010-10-20,Registrada,FRAY BENTOS,PAYSANDÚ,2000-03-10,2000-10-20,2000-10-27,25.0,16000.0,Riego,Hortalizas,-32.36978549,-57.87001899,12.0,3.0,2160.0,PAYSANDÚ-2048,237907.0,2.0,31.0,0.15,25.0,2.0,5.0,Nueva,Autorización,7.35873850197109,Registrada,
Proyecto de Aprovechamiento,SGRH-00040200402-598.001,2010-10-19,Registrada,SAN JOSÉ,SAN JOSÉ,2000-04-11,2000-10-19,2000-10-25,20.0,8000.0,Riego,Otros,-34.68004373,-56.73112873,12.0,3.0,2160.0,SAN JOSÉ-14232,237914.0,6.0,55.0,0.15,20.0,28.0,32.5,Nueva,Autorización,6.274638633377135,Registrada,
Proyecto de Aprovechamiento,SGRH-00040200414-609.001,2010-10-10,Registrada,SAN JOSÉ,CANELONES,2000-04-14,2000-10-10,2000-10-18,6.8,7000.0,Riego,Frutales,-34.5045261,-56.30396653,12.0,3.0,2160.0,CANELONES-19,237926.0,1.0,64.0,0.15,6.8,3.9,22.3,Nueva,Autorización,5.88042049934297,Registrada,
Proyecto de Aprovechamiento,SGRH-00040200456-613.001,2010-09-19,Registrada,SAN JOSÉ,CANELONES,2000-05-05,2000-09-15,2000-09-18,3.0,3500.0,Riego,Hortalizas,-34.52060124,-56.22510334,12.0,3.0,2160.0,CANELONES-17508,237931.0,1.0,50.0,0.15,3.0,8.45,29.0,Nueva,Autorización,4.369250985545335,Registrada,
Proyecto de Aprovechamiento,SGRH-00040200478-616.001,2012-06-30,Registrada,MONTEVIDEO,MONTEVIDEO,2000-03-10,2002-09-20,2002-09-24,8.0,10800.0,Riego,Frutales,-34.7569185,-56.30549516,12.0,3.0,2160.0,MONTEVIDEO-411567,237932.0,11.0,36.0,0.15,8.0,9.0,10.5,Nueva,Autorización,30.354796320630747,Registrada,
Proyecto de Aprovechamiento,SGRH-00040200634-617.001,2010-10-19,Registrada,FRAY BENTOS,PAYSANDÚ,2000-07-12,2000-10-19,2000-10-25,18.0,22500.0,Riego,Hortalizas,-32.2973834,-57.80362401,12.0,3.0,2160.0,PAYSANDÚ-2008,237941.0,1.0,58.0,0.15,18.0,25.5,34.6,Nueva,Autorización,3.252299605781866,Registrada,
Proyecto de Aprovechamiento,SGRH-00040200636-619.001,2010-10-27,Registrada,FRAY BENTOS,RÍO NEGRO,2000-07-12,2000-10-27,2000-11-02,6.0,7500.0,Riego,Hortalizas,-32.96808761,-58.0426651,12.0,3.0,2160.0,RÍO NEGRO-2934,237943.0,2.0,53.0,0.2,6.0,15.0,41.05,Nueva,Autorización,3.515111695137976,Registrada,
Proyecto de Aprovechamiento,SGRH-00040200637-621.001,2010-10-19,Registrada,FRAY BENTOS,PAYSANDÚ,2000-07-12,2000-10-19,2000-10-25,12.8,14000.0,Riego,Frutales,-32.25813999,-58.02078585,12.0,3.0,2160.0,PAYSANDÚ-38,237944.0,2.0,79.0,0.15,12.8,14.1,48.0,Nueva,Autorización,3.252299605781866,Registrada,
Proyecto de Aprovechamiento,SGRH-00040200638-620.001,2010-10-19,Registrada,SAN JOSÉ,CANELONES,2000-07-12,2000-10-19,2000-10-25,15.0,7000.0,Riego,Frutales,-34.61540237,-56.2582963,12.0,3.0,2160.0,CANELONES-47083,237945.0,17.0,134.0,0.15,15.0,18.0,124.0,Nueva,Autorización,3.252299605781866,Registrada,
Proyecto de Aprovechamiento,SGRH-00040200830-634.001,2011-03-27,Registrada,SALTO,SALTO,2000-09-18,2001-03-27,2001-04-04,14.0,25200.0,Riego,Frutales,-31.31567434,-57.96212782,12.0,3.0,2160.0,SALTO-4739,237963.0,,55.0,0.15,14.0,11.0,38.5,Nueva,Autorización,6.241787122207621,Registrada,
Proyecto de Aprovechamiento,SGRH-00040200831-633.001,2011-03-27,Registrada,SALTO,SALTO,2000-09-18,2001-03-27,2001-04-03,19.7,35460.0,Riego,Frutales,-31.3279348,-57.90253832,12.0,3.0,2160.0,SALTO-4625,237964.0,3.0,55.0,0.15,19.7,10.0,15.0,Nueva,Autorización,6.241787122207621,Registrada,
Proyecto de Aprovechamiento,SGRH-00040201029-643.001,2009-12-06,Registrada,MONTEVIDEO,MONTEVIDEO,2000-11-23,2001-12-06,2001-12-11,4.4,7920.0,Riego,Frutales,-34.76647911,-56.14989713,12.0,3.0,1920.0,MONTEVIDEO-100159,237993.0,17.0,60.0,0.14,4.4,12.3,45.5,Nueva,Autorización,12.417871222076215,Registrada,
Proyecto de Aprovechamiento,SGRH-00040201064-651.001,2011-06-15,Registrada,MONTEVIDEO,MONTEVIDEO,2000-12-01,2001-06-15,2001-06-29,2.7,3000.0,Riego,Hortalizas,-34.76208014,-56.11001066,12.0,3.0,1920.0,MONTEVIDEO-177136,238002.0,16.0,54.0,0.15,2.7,12.2,40.05,Nueva,Autorización,6.438896189224704,Registrada,
Proyecto de Aprovechamiento,SGRH-00040201066-653.001,2008-03-28,Registrada,MONTEVIDEO,MONTEVIDEO,2000-12-01,2001-03-28,2001-04-04,12.0,12000.0,Riego,Hortalizas,-34.81484565,-56.4018758,12.0,3.0,1920.0,MONTEVIDEO-170267,238004.0,16.0,66.0,0.15,12.0,19.5,45.0,Nueva,Autorización,3.843626806833114,Registrada,
Proyecto de Aprovechamiento,SGRH-00040201067-654.001,2008-04-16,Registrada,MONTEVIDEO,MONTEVIDEO,2000-12-01,2001-04-16,2001-04-30,12.0,14000.0,Riego,Frutales,-34.74694434,-56.20004997,12.0,3.0,1920.0,MONTEVIDEO-59630,238005.0,9.0,42.0,0.15,12.0,3.0,,Nueva,Autorización,4.467805519053877,Registrada,
Proyecto de Aprovechamiento,SGRH-00040201071-658.001,2011-03-27,Registrada,MONTEVIDEO,MONTEVIDEO,2000-12-01,2001-03-27,2001-04-04,2.3,2500.0,Riego,Frutales,-34.86373367,-56.30560106,12.0,3.0,1920.0,MONTEVIDEO-94288,238009.0,13.0,50.0,0.15,2.3,4.5,46.5,Nueva,Autorización,3.8107752956636003,Registrada,
Proyecto de Aprovechamiento,SGRH-00040201075-662.001,2008-06-30,Registrada,MONTEVIDEO,MONTEVIDEO,2000-12-01,2001-04-16,2001-04-30,20.0,4000.0,Riego,Frutales,-34.73300629,-56.18960988,12.0,3.0,1920.0,MONTEVIDEO-161503,238013.0,9.0,36.0,0.15,20.0,10.0,26.0,Nueva,Autorización,4.467805519053877,Registrada,
Proyecto de Aprovechamiento,SGRH-01020200320-748.001,2008-12-03,Registrada,FRAY BENTOS,PAYSANDÚ,2001-04-04,2001-12-03,,18.0,32400.0,Riego,Hortalizas,-32.36139307,-58.10923184,12.0,3.0,1920.0,,238049.0,,62.0,0.15,18.0,8.0,15.0,Nueva,Autorización,7.982917214191852,Registrada,
Proyecto de Aprovechamiento,SGRH-01040200257-722.001,2011-12-03,Registrada,FRAY BENTOS,COLONIA,2001-03-27,2001-12-03,2001-12-06,5.0,5500.0,Riego,Hortalizas,-33.97400032,-58.29861088,12.0,3.0,2160.0,COLONIA-5994,238411.0,6.0,85.0,0.15,5.0,4.0,75.0,Nueva,Autorización,8.245729303547963,Registrada,
Proyecto de Aprovechamiento,SGRH-01040200259-720.001,2009-10-01,Registrada,FRAY BENTOS,PAYSANDÚ,2001-03-27,2001-10-01,2001-10-04,24.0,43200.0,Riego,Otros,-32.32080333,-58.04567073,12.0,3.0,2160.0,PAYSANDÚ-931,238412.0,2.0,70.0,0.15,24.0,30.0,37.0,Nueva,Autorización,6.176084099868594,Registrada,
Proyecto de Aprovechamiento,SGRH-01040200260-719.001,2010-07-15,Registrada,FRAY BENTOS,PAYSANDÚ,2001-01-01,2001-07-05,2001-07-13,24.0,43200.0,Riego,Frutales,-32.33074368,-58.01884139,12.0,3.0,2160.0,PAYSANDÚ-1135,238413.0,2.0,62.0,0.15,24.0,21.0,26.54,Nueva,Autorización,6.077529566360052,Registrada,
Proyecto de Aprovechamiento,SGRH-01040200261-718.001,2007-12-31,Registrada,FRAY BENTOS,PAYSANDÚ,2001-01-01,2001-12-31,2002-01-03,8.0,14400.0,Riego,Hortalizas,-32.28903097,-58.08309225,12.0,3.0,2160.0,PAYSANDÚ-309,238414.0,1.0,60.0,0.15,8.0,5.0,24.0,Nueva,Autorización,11.957950065703022,Registrada,
Proyecto de Aprovechamiento,SGRH-01040200262-717.001,2010-11-19,Registrada,FRAY BENTOS,PAYSANDÚ,2001-03-27,2001-11-19,2001-11-20,24.0,43200.0,Riego,Hortalizas,-32.3106262,-58.06028074,12.0,3.0,2160.0,PAYSANDÚ-121,238415.0,1.0,50.0,0.15,24.0,12.0,16.0,Nueva,Autorización,7.7858081471747695,Registrada,
Proyecto de Aprovechamiento,SGRH-01040200263-716.001,2010-10-01,Registrada,FRAY BENTOS,PAYSANDÚ,2001-03-27,2001-10-01,2001-10-04,22.0,39600.0,Riego,Hortalizas,-32.30284777,-58.04151258,12.0,3.0,2160.0,PAYSANDÚ-754,238416.0,2.0,50.0,0.15,22.0,26.2,34.2,Nueva,Autorización,6.176084099868594,Registrada,
Proyecto de Aprovechamiento,SGRH-01040200264-715.001,2010-06-30,Registrada,SALTO,SALTO,2001-03-27,2001-07-16,2001-07-25,19.7,20000.0,Riego,Hortalizas,-31.20553043,-57.45554572,12.0,3.0,2160.0,SALTO-7597,238417.0,2.0,46.0,0.15,19.7,7.0,19.0,Nueva,Autorización,3.6465177398160313,Registrada,
